prompt,target
The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,0
"Ignore the reputation , and ignore the film .",0
"A very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",0
"Ryan Gosling is , in a word , brilliant as the conflicted Daniel .",1
"The camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",1
"a bilingual charmer , just like the woman who inspired it",1
A wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .,1
"Trite , banal , cliched , mostly inoffensive .",0
Where 's the movie here ?,0
Koepp 's screenplay is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,0
The subject of swinging still seems ripe for a documentary -- just not this one .,0
"Director Yu seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we have n't seen 10,000 times .",0
"Despite suffering a sense-of-humour failure , The Man Who Wrote Rocky does not deserve to go down with a ship as leaky as this .",0
So much about the film is loopy and ludicrous ... that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened .,0
"Shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",0
"wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , Daniel Auteuil , have a whale of a good time .",1
"It 's a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties .",1
"Every time you look , Sweet Home Alabama is taking another bummer of a wrong turn .",0
Greg Kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior .,1
"Though in some ways similar to Catherine Breillat 's Fat Girl , Rain is the far superior film .",1
"Totally overwrought , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are The Greatest Musicians of All Time .",0
"A loud , brash and mainly unfunny high school comedy .",0
"It 's not just a feel-good movie , it 's a feel movie .",1
"The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1
The Komediant is a tale worth catching .,1
"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",1
"As an introduction to the man 's theories and influence , Derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , however , it 's invaluable .",1
Viewers of Barney 's crushingly self-indulgent spectacle will see nothing in it to match the ordeal of sitting through it .,0
"Russell lacks the visual panache , the comic touch , and perhaps the budget of Sommers 's title-bout features .",0
Perhaps the best sports movie I 've ever seen .,1
"In the new release of Cinema Paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .",1
The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,1
"It 's really yet another anemic and formulaic Lethal Weapon-derived buddy-cop movie , trying to pass off its lack of imagination as hip knowingness .",0
One-sided documentary offers simplistic explanations to a very complex situation .,0
But Toback 's deranged immediacy makes it seem fresh again .,1
It 's loud and boring ; watching it is like being trapped at a bad rock concert .,0
"Flashy gadgets and whirling fight sequences may look cool , but they ca n't distract from the flawed support structure holding Equilibrium up .",0
"It 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but Olympia , Wash. , based filmmakers Anne de Marcken and Marilyn Freeman did just that and it 's what makes their project so interesting .",1
Until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,0
"Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .",1
"Priggish , lethargically paced parable of renewal .",0
It never fails to engage us .,1
"The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",1
"Art-house to the core , Read My Lips is a genre-curling crime story that revives the free-wheeling noir spirit of old French cinema .",1
"This film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions .",0
"If you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign .",0
Gives everyone something to shout about .,1
"Bartleby is a one-joke movie , and a bad joke at that .",0
"Like all of Egoyan 's work , Ararat is fiercely intelligent and uncommonly ambitious .",1
"What 's most refreshing about Real Women Have Curves is its unforced comedy-drama and its relaxed , natural-seeming actors .",1
Nothing more than a stifling morality tale dressed up in peekaboo clothing .,0
Skip this turd and pick your nose instead because you 're sure to get more out of the latter experience .,0
"Divertingly ridiculous , headbangingly noisy .",0
The history is fascinating ; the action is dazzling .,1
The uneven movie does have its charms and its funny moments but not quite enough of them .,0
"The film , while not exactly assured in its execution , is notable for its sheer audacity and openness .",1
"... once the true impact of the day unfolds , the power of this movie is undeniable .",1
"Though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves .",0
The Master of Disguise represents Adam Sandler 's latest attempt to dumb down the universe .,0
"Barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .",0
"Imagine a film that begins as a Seven rip-off , only to switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s .",0
"A ` Girls Gone Wild ' video for the boho art-house crowd , The Burning Sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .",0
works on the whodunit level as its larger themes get lost in the murk of its own making,0
"While it 's nothing we have n't seen before from Murphy , I Spy is still fun and enjoyable and so aggressively silly that it 's more than a worthwhile effort .",1
"Time stands still in more ways that one in Clockstoppers , a sci-fi thriller as lazy as it is interminable .",0
Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .,1
"Even on its own ludicrous terms , The Sum of All Fears generates little narrative momentum , and invites unflattering comparisons to other installments in the Ryan series .",0
The banter between Calvin and his fellow barbers feels like a streetwise McLaughlin Group ... and never fails to entertain .,1
"The screenplay is hugely overwritten , with tons and tons of dialogue -- most of it given to children .",0
Kudos to the most enchanting film of the year .,1
"Because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags .",0
It wants to tweak them with a taste of tangy new humor .,1
"It 's an effort to watch this movie , but it eventually pays off and is effective if you stick with it .",1
"You come away thinking not only that Kate is n't very bright , but that she has n't been worth caring about and that maybe she , Janine and Molly -- an all-woman dysfunctional family -- deserve one another .",0
"Mr. Wollter and Ms. Seldhal give strong and convincing performances , but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion , grief and fear .",0
It may as well be called `` Jar-Jar Binks : The Movie . '',0
"Overall , it 's a very entertaining , thought-provoking film with a simple message : God is love .",1
I 'd give real money to see the perpetrators of Chicago torn apart by dingoes .,0
I do n't think I 've been as entranced and appalled by an Asian film since Shinya Tsukamoto 's Iron Man .,1
"An entertaining , colorful , action-filled crime story with an intimate heart .",1
Tries to work in the same vein as the brilliance of Animal House but instead comes closer to the failure of the third Revenge of the Nerds sequel .,0
"If you 're looking for a story , do n't bother .",0
"The most wondrous love story in years , it is a great film .",1
"All the Queen 's Men is a throwback war movie that fails on so many levels , it should pay reparations to viewers .",0
Any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .,1
A moving and stark reminder that the casualties of war reach much further than we imagine .,1
Now it 's just tired .,0
"Although based on a real-life person , John , in the movie , is a rather dull person to be stuck with for two hours .",0
The film 's intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them .,1
More trifle than triumph .,0
( Sen 's ) soap opera-ish approach undermines his good intentions .,0
A coming-of-age movie that Hollywood would n't have the guts to make .,1
"Astonishing is n't the word -- neither is incompetent , incoherent or just plain crap .",0
"Ms. Phoenix is completely lacking in charm and charisma , and is unable to project either Esther 's initial anomie or her eventual awakening .",0
About Schmidt is undoubtedly one of the finest films of the year .,1
"More successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0
"Too loud , too long and too frantic by half , Die Another Day suggests that the Bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through .",0
"Enormously likable , partly because it is aware of its own grasp of the absurd .",1
Too bad Kramer could n't make a guest appearance to liven things up .,0
"White Oleander may leave you rolling your eyes in the dark , but that does n't mean you wo n't like looking at it .",1
"An enjoyable , if occasionally flawed , experiment .",1
Captures the raw comic energy of one of our most flamboyant female comics .,1
See it .,1
"` Moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '",0
An uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,0
Millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry .,0
Really quite funny .,1
"Although Disney follows its standard formula in this animated adventure , it feels more forced than usual .",0
"Watching this film , one is left with the inescapable conclusion that Hitchens ' obsession with Kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power .",1
Farrell ... thankfully manages to outshine the role and successfully plays the foil to Willis 's world-weary colonel .,1
The lead actors share no chemistry or engaging charisma .,0
"If Disney 's Cinderella proved that ' a dream is a wish your heart makes , ' then Cinderella II proves that a nightmare is a wish a studio 's wallet makes .",0
"Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .",1
The Transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,0
One of the most genuinely sweet films to come along in quite some time .,1
The only young people who possibly will enjoy it are infants ... who might be distracted by the movie 's quick movements and sounds .,0
"In the not-too-distant future , movies like Ghost Ship will be used as analgesic balm for overstimulated minds .",0
"Audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0
"This familiar rise-and-fall tale is long on glamour and short on larger moralistic consequences , though it 's told with sharp ears and eyes for the tenor of the times .",1
"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .",0
"Ignoring that , he made Swimfan anyway",0
"Sorority Boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it .",0
"Although I did n't hate this one , it 's not very good either .",0
"It 's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate .",0
"... plenty of warmth to go around , with music and laughter and the love of family .",1
"A fascinating , unnerving examination of the delusions of one unstable man .",1
"Reassuring , retro uplifter .",1
It 's a sharp movie about otherwise dull subjects .,1
"The film is powerful , accessible and funny .",1
"In execution , this clever idea is far less funny than the original , Killers From Space .",0
"It 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep .",1
"It 's like Rocky and Bullwinkle on Speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness .",0
"All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit .",1
"This documentary is a dazzling , remarkably unpretentious reminder of what ( Evans ) had , lost , and got back .",1
"Feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",0
"The premise of `` Abandon '' holds promise , ... but its delivery is a complete mess .",0
"Boasts a handful of virtuosic set pieces and offers a fair amount of trashy , kinky fun .",1
"Although God Is Great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film .",0
"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",1
"The tone is balanced , reflective and reasonable .",1
Watching it is rather like an overlong visit from a large group of your relatives .,0
The kids often appear to be reading the lines and are incapable of conveying any emotion .,0
The logic of it all will be Greek to anyone not predisposed to the movie 's rude and crude humor .,0
Diane Lane works nothing short of a minor miracle in Unfaithful .,1
"None of this is very original , and it is n't particularly funny .",0
Huppert and Girardot give performances of exceptional honesty .,1
"... it was n't the subject matter that ultimately defeated the film ... It was the unfulfilling , incongruous , `` wait a second , did I miss something ? ''",0
They ought to be a whole lot scarier than they are in this tepid genre offering .,0
You could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .,0
"When the first few villians are introduced as `` Spider '' and `` Snake '' you know you 're in for a real winner , creativity at its peak .",0
( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',1
"A sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",0
"It 's an ambitious film , and as with all ambitious films , it has some problems .",1
Ararat feels like a book report,0
The film is impressive for the sights and sounds of the wondrous beats the world has to offer .,1
"Rather quickly , the film falls into a soothing formula of brotherly conflict and reconciliation .",1
Pleasant but not more than recycled jock piffle .,0
Corpus Collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,0
"A tender , heartfelt family drama .",1
"The film just might turn on many people to opera , in general , an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life .",1
"The title not only describes its main characters , but the lazy people behind the camera as well .",0
"Though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting .",1
"While Super Troopers is above Academy standards , its quintet of writers could still use some more schooling .",0
"It does n't make for great cinema , but it is interesting to see where one 's imagination will lead when given the opportunity .",0
A charming yet poignant tale of the irrevocable ties that bind .,1
It rapidly develops into a gut-wrenching examination of the way cultural differences and emotional expectations collide .,1
Villeneuve spends too much time wallowing in Bibi 's generic angst ( there are a lot of shots of her gazing out windows ) .,0
"Told in scattered fashion , the movie only intermittently lives up to the stories and faces and music of the men who are its subject .",0
"Well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull .",0
Overall very good for what it 's trying to do .,1
A devastating indictment of unbridled greed and materalism .,0
"This extremely unfunny film clocks in at 80 minutes , but feels twice as long .",0
Friday After Next has the same problem that Next Friday did -- it 's called Where 's Chris Tucker When You Need Him ?,0
"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",1
A spooky yarn of demonic doings on the high seas that works better the less the brain is engaged .,0
Diane Lane shines in Unfaithful .,1
Its one-sidedness ... flirts with propaganda .,0
"There is no substitute for on-screen chemistry , and when Friel pulls the strings that make Williams sink into melancholia , the reaction in Williams is as visceral as a gut punch .",1
"It 's a decent glimpse into a time period , and an outcast , that is no longer accessible , but it does n't necessarily shed more light on its subject than the popular predecessor .",1
"... with the candy-like taste of it fading faster than 25-cent bubble gum , I realized this is a throwaway movie that wo n't stand the test of time .",0
It is too bad that this likable movie is n't more accomplished .,0
"A shame that Stealing Harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable .",0
A compelling motion picture that illustrates an American tragedy .,1
( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,1
A bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams .,1
"For all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when Godard can no longer handle the rigors of filmmaking .",0
"In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",1
What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted .,0
"A delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional .",1
The mantra behind the project seems to have been ` it 's just a kids ' flick . ',0
The best that can be said about the work here of Scottish director Ritchie ... is that he obviously does n't have his heart in it .,0
"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes .",0
Offers a persuasive look at a defeated but defiant nation in flux .,1
Aggravating and tedious .,0
"The direction has a fluid , no-nonsense authority , and the performances by Harris , Phifer and Cam ` ron seal the deal .",1
"The so-inept - it 's - surreal dubbing ( featuring the voices of Glenn Close , Regis Philbin and Breckin Meyer ) brings back memories of cheesy old Godzilla flicks .",0
"Complete lack of originality , cleverness or even visible effort",0
"It 's predictable , but it jumps through the expected hoops with style and even some depth .",1
"Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents .",1
"The wonderfully lush Morvern Callar is pure punk existentialism , and Ms. Ramsay and her co-writer , Liana Dognini , have dramatized the Alan Warner novel , which itself felt like an answer to Irvine Welsh 's book Trainspotting .",1
And for all the wrong reasons besides .,0
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",1
"Anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning .",0
It 's hard to imagine another director ever making his wife look so bad in a major movie .,0
It wears its heart on the sleeve of its gaudy Hawaiian shirt .,0
De Niro may enjoy the same free ride from critics afforded to Clint Eastwood in the lazy Bloodwork .,0
The footage of the rappers at play and the prison interview with Suge Knight are just two of the elements that will grab you .,1
"I 've never seen or heard anything quite like this film , and I recommend it for its originality alone .",1
One lousy movie .,0
Judith and Zaza 's extended bedroom sequence ... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,1
"Like life on the island , the movie grows boring despite the scenery .",0
"Left me with the visceral sensation of longing , lasting traces of Charlotte 's web of desire and desperation .",1
"There 's no palpable chemistry between Lopez and male lead Ralph Fiennes , plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme .",0
"This is n't my favorite in the series , still I enjoyed it enough to recommend .",1
Rodriguez does a splendid job of racial profiling Hollywood style -- casting excellent Latin actors of all ages -- a trend long overdue .,1
K-19 exploits our substantial collective fear of nuclear holocaust to generate cheap Hollywood tension .,0
"Merely ( and literally ) tosses around sex toys and offers half-hearted paeans to empowerment that are repeatedly undercut by the brutality of the jokes , most at women 's expense .",0
"Whatever Eyre 's failings as a dramatist , he deserves credit for bringing audiences into this hard and bitter place .",1
Moot point .,0
Sexy and romantic .,1
"This is an extraordinary film , not least because it is Japanese and yet feels universal .",1
"The characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .",0
Not good enough to pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans .,0
"It 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous Full Frontal .",1
( Tries ) to parody a genre that 's already a joke in the United States .,0
I cry for I Spy -- or I would if this latest and laziest imaginable of all vintage-TV spinoffs were capable of engendering an emotional response of any kind .,0
It 's easy to love Robin Tunney -- she 's pretty and she can act -- but it gets harder and harder to understand her choices .,0
"A wild , endearing , masterful documentary .",1
American Chai encourages rueful laughter at stereotypes only an Indian-American would recognize .,0
Get out your pooper-scoopers .,0
I 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .,0
"It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen .",1
Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .,0
Showtime is closer to Slowtime .,0
A refreshing change from the usual whoopee-cushion effort aimed at the youth market .,1
"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",1
Clare Peploe 's airless movie adaptation could use a little American Pie-like irreverence .,0
"When twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve .",1
"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",0
"An inconsequential , barely there bit of piffle .",0
"The movie turns out to be ( Assayas ' ) homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",0
An opportunity missed .,0
"An unbelievably stupid film , though occasionally fun enough to make you forget its absurdity .",0
"Feature debuter D.J. Caruso directs a crack ensemble cast , bringing screenwriter Tony Gayton 's narcotics noir to life .",1
... the story simply putters along looking for astute observations and coming up blank .,0
"A hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as Grant 's two best films -- Four Weddings and a Funeral and Bridget Jones 's Diary .",1
This is n't a `` Friday '' worth waiting for .,0
or maybe `` How will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? '',0
"An intelligent and deeply felt work about impossible , irrevocable choices and the price of making them .",1
A long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .,0
"This concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned .",1
Steven Spielberg brings us another masterpiece,1
"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie .",0
"One of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .",1
Writer-director Ritchie reduces Wertmuller 's social mores and politics to tiresome jargon .,0
All the small moments and flashbacks do n't add up to much more than trite observations on the human condition .,0
The comedy Death to Smoochy is a rancorous curiosity : a movie without an apparent audience .,0
Even those of a single digit age will be able to recognize that this story is too goofy ... even for Disney .,0
"A long-winded , predictable scenario .",0
Old-form moviemaking at its best .,1
"Sheridan is painfully bad , a fourth-rate Jim Carrey who does n't understand the difference between dumb fun and just plain dumb .",0
The film ... presents classic moral-condundrum drama : What would you have done to survive ?,1
The Ring never lets you off the hook .,1
Where their heads were is anyone 's guess .,0
It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,1
"Unlike the nauseating fictions peddled by such ` Have-yourself-a-happy-little-Holocaust ' movies as Life Is Beautiful and Jakob the Liar , The Grey Zone is honest enough to deny the possibility of hope in Auschwitz .",1
The result is something quite fresh and delightful .,1
"The Château would have been benefited from a sharper , cleaner script before it went in front of the camera .",0
Culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character .,0
"This mild-mannered farce , directed by one of its writers , John C. Walsh , is corny in a way that bespeaks an expiration date passed a long time ago .",0
"Family portrait of need , neurosis and nervy negativity is a rare treat that shows the promise of digital filmmaking .",1
It 's hard to imagine that even very small children will be impressed by this tired retread .,0
The only thing that distinguishes a Randall Wallace film from any other is the fact that there is nothing distinguishing in a Randall Wallace film .,0
This movie plays like an extended dialogue exercise in Retard 101 .,0
"Despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .",0
... digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations .,1
Nothing but an episode of Smackdown !,0
"Ill-considered , unholy hokum .",0
But it does somehow manage to get you under its spell .,1
"( T ) here 's only so much anyone can do with a florid , overplotted , Anne Rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .",0
"Beyond the cleverness , the weirdness and the pristine camerawork , One Hour Photo is a sobering meditation on why we take pictures .",1
"A timid , soggy near miss .",0
"If nothing else , this movie introduces a promising , unusual kind of psychological horror .",1
I ca n't remember the last time I saw worse stunt editing or cheaper action movie production values than in Extreme Ops .,0
An unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a VH1 Behind the Music episode .,0
Not to mention absolutely refreshed .,1
` Opening up ' the play more has partly closed it down .,0
"In between the icy stunts , the actors spout hilarious dialogue about following your dream and ` just letting the mountain tell you what to do . '",1
"The overall effect is so completely inane that one would have to be mighty bored to even think of staying with this for more than , say , ten ... make that three minutes .",0
"It 's dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast .",0
A film with contemporary political resonance illustrated by a winning family story .,1
The whole thing plays like a tired Tyco ad .,0
The use of CGI and digital ink-and-paint make the thing look really slick .,1
"It does n't take a rocket scientist to figure out that this is a Mormon family movie , and a sappy , preachy one at that .",0
A harmless and mildly amusing family comedy .,1
"Manages to transcend the sex , drugs and show-tunes plot into something far richer .",1
Serious and thoughtful .,1
"Extreme Oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .",0
"Although it tries to be much more , it 's really just another Major League .",0
"While the Resident Evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .",0
"Witty and often surprising , a dark little morality tale disguised as a romantic comedy .",1
"An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences .",1
"( Jeff 's ) gorgeous , fluid compositions , underlined by Neil Finn and Edmund McWilliams 's melancholy music , are charged with metaphor , but rarely easy , obvious or self-indulgent .",1
"It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",1
Many a parent and their teen ( or preteen ) kid could bond while watching A Walk To Remember .,1
"And Lee seems just as expectant of an adoring , wide-smiling reception .",1
"After seeing SWEPT AWAY , I feel sorry for Madonna .",0
"On its icy face , the new film is a subzero version of Monsters , Inc. , without the latter 's imagination , visual charm or texture .",0
"Triple X is a double agent , and he 's one bad dude .",1
"A distinctly mixed bag , the occasional bursts of sharp writing alternating with lots of sloppiness and the obligatory moments of sentimental ooze .",0
"She nearly glows with enthusiasm , sensuality and a conniving wit .",1
The amazing film work is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others .,1
It 's just incredibly dull .,0
"Ponderous , plodding soap opera disguised as a feature film .",0
A small gem from Belgium .,1
This is n't a new idea .,0
Big Fat Liar is just futile silliness looking to tap into the kiddie sensibilities .,0
"A warm , funny , engaging film .",1
One of the greatest films I 've ever seen .,1
A riveting documentary .,1
Sushi for the connoisseurs of the macabre .,0
"Patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary .",0
A dark comedy that goes for sick and demented humor simply to do so .,0
"A movie I loved on first sight and , even more important , love in remembrance .",1
There 's suspension of disbelief and then there 's bad screenwriting ... this film packs a wallop of the latter .,0
"` Yes , that 's right : it 's Forrest Gump , Angel Of Death . '",1
"The film has an infectious enthusiasm and we 're touched by the film 's conviction that all life centered on that place , that time and that sport .",1
"The waterlogged script plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter .",0
Predictably soulless techno-tripe .,0
Kapur weighs down the tale with bogus profundities .,0
"Short-story quaint , touchingly mending a child 's pain for his dead mother via communication with an old woman straight out of Eudora Welty .",1
"Lathan and Diggs carry the film with their charisma , and both exhibit sharp comic timing that makes the more hackneyed elements of the film easier to digest .",1
The movie is as padded as Allen 's jelly belly .,0
An interesting look behind the scenes of Chicago-based rock group Wilco ...,1
Arguably the year 's silliest and most incoherent movie .,0
A sequel that 's much too big for its britches .,0
